data;valor;preco;quantidade;tipo_operacao;taxa;ativo;tipo;categoria;descricao;forma_pagamento;indicador1;indicador2
05/01/2023;9870.9;151.86;65.0;Compra;0.02;ITUB4;investimento;Investimentos;Criptomoedas;Débito;5.5077;0.4447
05/01/2023;651.3;651.3;1.0;Lançamento;0.0;;despesa;Alimentação;Restaurante;Débito;0.0;0.0
05/01/2023;140.18;140.18;1.0;Pagamento;0.0;;despesa;Transporte;Metrô;Transferência;0.0;0.0
05/01/2023;52446.71;87056.29;0.602446;Venda;28.86;BNB;investimento;Investimentos;Criptomoedas;Débito Online;6.5372;5.9736
06/01/2023;811.01;811.01;1.0;Compra;0.0;;despesa;Educação;Faculdade;Pix;0.0;0.0
06/01/2023;5051.52;105.24;48.0;Compra;3.03;KIND11;investimento;Investimentos;Criptomoedas;Débito;2.154;0.1743
06/01/2023;1596.51;1596.51;1.0;Transferência PIX;0.0;;receita;Trabalho;Freelance;Transferência;0.0;0.0
07/01/2023;81.87;81.87;1.0;Lançamento;0.0;;despesa;Transporte;Ônibus;Crédito;0.0;0.0
07/01/2023;923.66;923.66;1.0;Pagamento;0.0;;despesa;Educação;Livros;Dinheiro;0.0;0.0
07/01/2023;12885.99;12885.99;1.0;Depósito;0.0;;receita;Trabalho;13º;PIX;0.0;0.0
07/01/2023;1631.7;1631.7;1.0;Débito;0.0;;despesa;Saúde;Consulta;Crédito;0.0;0.0
07/01/2023;436.23;436.23;1.0;Pagamento;0.0;;despesa;Saúde;Exame;Pix;0.0;0.0
08/01/2023;911.83;911.83;1.0;Pagamento;0.0;;despesa;Lazer;Show;PIX;0.0;0.0
08/01/2023;7870.73;7870.73;1.0;Transferência;0.0;;receita;Trabalho;Bônus;Transferência;0.0;0.0
08/01/2023;1223.13;1223.13;1.0;Compra;0.0;;despesa;Saúde;Consulta;Crédito;0.0;0.0
08/01/2023;355.44;355.44;1.0;Débito;0.0;;despesa;Alimentação;Delivery;Boleto;0.0;0.0
09/01/2023;398.85;398.85;1.0;Compra;0.0;;despesa;Alimentação;Delivery;Boleto;0.0;0.0
10/01/2023;35985.05;93929.75;0.383106;Venda;6.68;BTC;investimento;Investimentos;Ações;Débito;4.1191;1.6781
10/01/2023;139.89;139.89;1.0;Pagamento PIX;0.0;;despesa;Lazer;Cinema;Boleto;0.0;0.0
10/01/2023;259.13;259.13;1.0;Lançamento;0.0;;despesa;Saúde;Consulta;Débito;0.0;0.0
10/01/2023;68353.51;87569.72;0.780561;Compra;7.98;XRP;investimento;Investimentos;Ações;PIX;6.926;3.3257
11/01/2023;1850.31;20.79;89.0;Venda;10.95;VALE3;investimento;Investimentos;Ações;Débito Online;5.7166;2.7162
11/01/2023;156.52;156.52;1.0;Compra;0.0;;despesa;Transporte;Metrô;PIX;0.0;0.0
11/01/2023;706.57;706.57;1.0;Pagamento PIX;0.0;;despesa;Alimentação;Merenda;Boleto;0.0;0.0
12/01/2023;432.44;432.44;1.0;Compra;0.0;;despesa;Alimentação;Supermercado;Crédito Parcelado;0.0;0.0
12/01/2023;574.64;574.64;1.0;Pagamento;0.0;;despesa;Educação;Material Escolar;Crédito;0.0;0.0
12/01/2023;9019.18;9019.18;1.0;Transferência PIX;0.0;;receita;Trabalho;13º;Transferência;0.0;0.0
12/01/2023;1233.79;1233.79;1.0;Pagamento PIX;0.0;;despesa;Moradia;Internet;PIX;0.0;0.0
13/01/2023;407.6;407.6;1.0;Pagamento PIX;0.0;;despesa;Saúde;Plano de Saúde;Dinheiro;0.0;0.0
13/01/2023;7667.64;7667.64;1.0;Crédito;0.0;;receita;Trabalho;Trabalho extra;PIX;0.0;0.0
14/01/2023;78.81;78.81;1.0;Pagamento PIX;0.0;;despesa;Lazer;Esporte;Boleto;0.0;0.0
14/01/2023;718.93;718.93;1.0;Pagamento;0.0;;despesa;Educação;Material Escolar;Transferência;0.0;0.0
14/01/2023;4167.0;138.9;30.0;Venda;12.88;BOVA11;investimento;Investimentos;Renda Fixa;Débito Online;5.1108;1.7895
15/01/2023;9814.57;9814.57;1.0;Depósito;0.0;;receita;Trabalho;Bônus;PIX;0.0;0.0
15/01/2023;3954.23;3954.23;1.0;Venda;6.76;Tesouro Selic;investimento;Investimentos;Ações;Débito;2.6915;1.4417
16/01/2023;194.32;194.32;1.0;Lançamento;0.0;;despesa;Lazer;Hobby;PIX;0.0;0.0
16/01/2023;1244.11;1244.11;1.0;Lançamento;0.0;;despesa;Saúde;Exame;Débito;0.0;0.0
16/01/2023;456.74;456.74;1.0;Pagamento PIX;0.0;;despesa;Educação;Faculdade;Crédito;0.0;0.0
17/01/2023;503.09;503.09;1.0;Pagamento;0.0;;despesa;Educação;Cursos;Débito Online;0.0;0.0
18/01/2023;691.26;691.26;1.0;Compra;0.0;;despesa;Saúde;Plano de Saúde;Crédito Parcelado;0.0;0.0
18/01/2023;1704.66;1704.66;1.0;Lançamento;0.0;;despesa;Moradia;Aluguel;Transferência;0.0;0.0
18/01/2023;62.35;62.35;1.0;Lançamento;0.0;;despesa;Educação;Faculdade;Crédito;0.0;0.0
18/01/2023;460.47;460.47;1.0;Compra;0.0;;despesa;Educação;Material Escolar;PIX;0.0;0.0
19/01/2023;871.21;871.21;1.0;Pagamento;0.0;;despesa;Educação;Faculdade;Transferência;0.0;0.0
20/01/2023;26761.72;81194.06;0.329602;Venda;9.01;BNB;investimento;Investimentos;ETFs;PIX;13.9759;3.1976
20/01/2023;54.08;54.08;1.0;Compra;0.0;;despesa;Lazer;Hobby;Pix;0.0;0.0
20/01/2023;4460.9;4460.9;1.0;Transferência PIX;0.0;;receita;Trabalho;Freelance;Transferência;0.0;0.0
20/01/2023;695.91;695.91;1.0;Pagamento PIX;0.0;;despesa;Alimentação;Supermercado;Boleto;0.0;0.0
21/01/2023;232.44;116.22;2.0;Venda;9.54;BBAS3;investimento;Investimentos;Criptomoedas;PIX;5.8405;3.0016
22/01/2023;3860.49;3860.49;1.0;Venda;0.71;LCI;investimento;Investimentos;Renda Fixa;Débito;1.5195;0.574
23/01/2023;883.04;883.04;1.0;Lançamento;0.0;;despesa;Educação;Cursos;Crédito;0.0;0.0
24/01/2023;1730.1;57.67;30.0;Compra;9.26;SPXI11;investimento;Investimentos;Ações;Débito Online;3.688;0.5248
25/01/2023;778.55;778.55;1.0;Compra;0.0;;despesa;Alimentação;Delivery;Crédito Parcelado;0.0;0.0
25/01/2023;125.84;125.84;1.0;Compra;0.0;;despesa;Transporte;Estacionamento;Transferência;0.0;0.0
25/01/2023;737.43;737.43;1.0;Compra;0.0;;despesa;Lazer;Cinema;Crédito;0.0;0.0
25/01/2023;1195.66;1195.66;1.0;Pagamento PIX;0.0;;despesa;Saúde;Consulta;Débito Online;0.0;0.0
26/01/2023;856.78;856.78;1.0;Lançamento;0.0;;despesa;Saúde;Consulta;Débito;0.0;0.0
26/01/2023;109.27;109.27;1.0;Pagamento PIX;0.0;;despesa;Alimentação;Supermercado;PIX;0.0;0.0
26/01/2023;1318.58;1318.58;1.0;Pagamento PIX;0.0;;despesa;Saúde;Consulta;Dinheiro;0.0;0.0
27/01/2023;1322.32;1322.32;1.0;Pagamento PIX;0.0;;despesa;Saúde;Consulta;Crédito Parcelado;0.0;0.0
27/01/2023;1653.88;1653.88;1.0;Transferência;0.0;;receita;Trabalho;Freelance;Transferência;0.0;0.0
28/01/2023;1861.89;1861.89;1.0;Transferência;0.0;;receita;Trabalho;Freelance;PIX;0.0;0.0
29/01/2023;1614.4;1614.4;1.0;Lançamento;0.0;;despesa;Moradia;Luz;PIX;0.0;0.0
30/01/2023;8533.73;8533.73;1.0;Transferência PIX;0.0;;receita;Trabalho;Bônus;Transferência;0.0;0.0
30/01/2023;849.67;849.67;1.0;Lançamento;0.0;;despesa;Alimentação;Supermercado;Boleto;0.0;0.0
30/01/2023;847.55;847.55;1.0;Pagamento;0.0;;despesa;Lazer;Cinema;Débito Online;0.0;0.0
30/01/2023;7323.87;63817.94;0.114762;Aplicação;20.36;SOL;investimento;Investimentos;Ações;Débito;7.6778;8.0363
31/01/2023;1328.2;132.82;10.0;Aplicação;11.52;IVVB11;investimento;Investimentos;ETFs;Transferência;7.777;1.9739
31/01/2023;3148.13;3148.13;1.0;Resgate;0.17;CDB;investimento;Investimentos;Ações;Transferência;1.6587;0.0793
31/01/2023;632.24;79.03;8.0;Compra;8.14;BOVA11;investimento;Investimentos;ETFs;Débito Online;3.9552;1.5931
31/01/2023;1541.12;1541.12;1.0;Pagamento;0.0;;despesa;Moradia;Água;PIX;0.0;0.0
31/01/2023;74.51;74.51;1.0;Compra;0.0;;despesa;Educação;Material Escolar;Débito Online;0.0;0.0
01/02/2023;463.99;463.99;1.0;Lançamento;0.0;;despesa;Transporte;Ônibus;PIX;0.0;0.0
01/02/2023;596.14;596.14;1.0;Compra;0.0;;despesa;Lazer;Hobby;Crédito Parcelado;0.0;0.0
01/02/2023;434.51;434.51;1.0;Pagamento;0.0;;despesa;Alimentação;Merenda;Crédito Parcelado;0.0;0.0
01/02/2023;531.72;531.72;1.0;Lançamento;0.0;;despesa;Saúde;Plano de Saúde;Transferência;0.0;0.0
01/02/2023;9591.63;9591.63;1.0;Transferência PIX;0.0;;receita;Trabalho;Trabalho extra;Transferência;0.0;0.0
02/02/2023;2098.33;2098.33;1.0;Pagamento PIX;0.0;;despesa;Moradia;Água;Boleto;0.0;0.0
02/02/2023;4038.1;183.55;22.0;Resgate;16.41;ITSA4;investimento;Investimentos;Ações;Transferência;3.3663;1.5128
03/02/2023;196.09;196.09;1.0;Pagamento PIX;0.0;;despesa;Saúde;Plano de Saúde;Boleto;0.0;0.0
03/02/2023;621.39;621.39;1.0;Compra;0.0;;despesa;Alimentação;Supermercado;Crédito;0.0;0.0
03/02/2023;10597.17;10597.17;1.0;Crédito;0.0;;receita;Trabalho;Bônus;PIX;0.0;0.0
03/02/2023;765.38;765.38;1.0;Pagamento PIX;0.0;;despesa;Lazer;Cinema;Boleto;0.0;0.0
04/02/2023;1254.4;1254.4;1.0;Pagamento;0.0;;despesa;Moradia;Luz;PIX;0.0;0.0
04/02/2023;2744.19;2744.19;1.0;Depósito;0.0;;receita;Trabalho;Freelance;PIX;0.0;0.0
04/02/2023;5311.62;5311.62;1.0;Depósito;0.0;;receita;Trabalho;Trabalho extra;Transferência;0.0;0.0
04/02/2023;422.01;422.01;1.0;Compra;0.0;;despesa;Alimentação;Merenda;Dinheiro;0.0;0.0
05/02/2023;858.09;858.09;1.0;Lançamento;0.0;;despesa;Educação;Cursos;Transferência;0.0;0.0
05/02/2023;246.29;246.29;1.0;Débito;0.0;;despesa;Educação;Faculdade;Dinheiro;0.0;0.0
05/02/2023;1090.28;1090.28;1.0;Lançamento;0.0;;despesa;Saúde;Consulta;Débito Online;0.0;0.0
05/02/2023;7433.26;7433.26;1.0;Depósito;0.0;;receita;Trabalho;13º;PIX;0.0;0.0
05/02/2023;1358.94;123.54;11.0;Venda;5.87;IMAB11;investimento;Investimentos;Criptomoedas;Débito;2.8278;1.9036
06/02/2023;1705.58;1705.58;1.0;Compra;0.0;;despesa;Moradia;Condomínio;PIX;0.0;0.0
06/02/2023;2069.47;2069.47;1.0;Compra;0.0;;despesa;Moradia;Internet;Boleto;0.0;0.0
06/02/2023;2703.51;29.07;93.0;Compra;15.75;ABEV3;investimento;Investimentos;Renda Fixa;Débito Online;2.7487;0.273
06/02/2023;816.36;816.36;1.0;Débito;0.0;;despesa;Educação;Livros;Débito;0.0;0.0
07/02/2023;1064.7;1064.7;1.0;Compra;0.0;;despesa;Saúde;Plano de Saúde;Transferência;0.0;0.0
07/02/2023;131.41;131.41;1.0;Débito;0.0;;despesa;Saúde;Exame;Crédito;0.0;0.0
07/02/2023;2619.09;2619.09;1.0;Lançamento;0.0;;despesa;Moradia;Condomínio;Boleto;0.0;0.0
07/02/2023;1302.54;1302.54;1.0;Débito;0.0;;despesa;Saúde;Exame;Crédito;0.0;0.0
07/02/2023;13036.42;13036.42;1.0;Transferência;0.0;;receita;Trabalho;Salário;PIX;0.0;0.0
08/02/2023;484.14;484.14;1.0;Pagamento;0.0;;despesa;Transporte;Ônibus;Débito Online;0.0;0.0
08/02/2023;512.03;512.03;1.0;Pagamento;0.0;;despesa;Lazer;Viagem;Boleto;0.0;0.0
09/02/2023;998.92;998.92;1.0;Débito;0.0;;despesa;Saúde;Plano de Saúde;Crédito;0.0;0.0
09/02/2023;2723.34;2723.34;1.0;Débito;0.0;;despesa;Moradia;Aluguel;PIX;0.0;0.0
09/02/2023;286.51;286.51;1.0;Compra;0.0;;despesa;Saúde;Medicamento;Débito Online;0.0;0.0
09/02/2023;175.54;175.54;1.0;Compra;0.0;;despesa;Transporte;Estacionamento;Débito Online;0.0;0.0
09/02/2023;2219.86;2219.86;1.0;Pagamento;0.0;;despesa;Moradia;Água;Transferência;0.0;0.0
10/02/2023;567.2;567.2;1.0;Débito;0.0;;despesa;Educação;Faculdade;Débito Online;0.0;0.0
10/02/2023;14016.93;14016.93;1.0;Transferência;0.0;;receita;Trabalho;Salário;PIX;0.0;0.0
10/02/2023;598.2;598.2;1.0;Pagamento;0.0;;despesa;Lazer;Hobby;Pix;0.0;0.0
10/02/2023;1445.4;1445.4;1.0;Débito;0.0;;despesa;Saúde;Exame;PIX;0.0;0.0
11/02/2023;1768.58;1768.58;1.0;Débito;0.0;;despesa;Saúde;Consulta;Dinheiro;0.0;0.0
11/02/2023;459.13;459.13;1.0;Pagamento;0.0;;despesa;Transporte;Ônibus;PIX;0.0;0.0
11/02/2023;909.37;909.37;1.0;Lançamento;0.0;;despesa;Alimentação;Merenda;Pix;0.0;0.0
12/02/2023;12720.24;12720.24;1.0;Depósito;0.0;;receita;Trabalho;Bônus;PIX;0.0;0.0
12/02/2023;246.79;246.79;1.0;Lançamento;0.0;;despesa;Transporte;Gasolina;Crédito Parcelado;0.0;0.0
13/02/2023;6565.95;6565.95;1.0;Transferência;0.0;;receita;Trabalho;13º;Transferência;0.0;0.0
13/02/2023;7304.59;7304.59;1.0;Depósito;0.0;;receita;Trabalho;13º;Transferência;0.0;0.0
13/02/2023;460.36;460.36;1.0;Lançamento;0.0;;despesa;Lazer;Viagem;Dinheiro;0.0;0.0
13/02/2023;2919.3;2919.3;1.0;Pagamento PIX;0.0;;despesa;Moradia;IPTU;Transferência;0.0;0.0
13/02/2023;155.87;155.87;1.0;Débito;0.0;;despesa;Alimentação;Delivery;Débito Online;0.0;0.0
14/02/2023;979.17;979.17;1.0;Pagamento;0.0;;despesa;Saúde;Exame;Pix;0.0;0.0
14/02/2023;566.17;566.17;1.0;Lançamento;0.0;;despesa;Saúde;Medicamento;Crédito Parcelado;0.0;0.0
14/02/2023;293.27;293.27;1.0;Pagamento PIX;0.0;;despesa;Alimentação;Merenda;Dinheiro;0.0;0.0
14/02/2023;471.87;471.87;1.0;Compra;0.0;;despesa;Transporte;Gasolina;Crédito Parcelado;0.0;0.0
15/02/2023;8847.49;8847.49;1.0;Transferência;0.0;;receita;Trabalho;13º;Transferência;0.0;0.0
15/02/2023;865.2;865.2;1.0;Compra;0.0;;despesa;Educação;Material Escolar;Boleto;0.0;0.0
16/02/2023;403.29;403.29;1.0;Pagamento PIX;0.0;;despesa;Transporte;Metrô;PIX;0.0;0.0
16/02/2023;1315.99;1315.99;1.0;Pagamento PIX;0.0;;despesa;Moradia;Condomínio;Boleto;0.0;0.0
16/02/2023;476.81;476.81;1.0;Pagamento PIX;0.0;;despesa;Lazer;Cinema;Crédito;0.0;0.0
17/02/2023;567.37;567.37;1.0;Pagamento;0.0;;despesa;Educação;Faculdade;Pix;0.0;0.0
18/02/2023;13014.72;13014.72;1.0;Crédito;0.0;;receita;Trabalho;Trabalho extra;Transferência;0.0;0.0
18/02/2023;794.3;794.3;1.0;Pagamento;0.0;;despesa;Lazer;Esporte;Boleto;0.0;0.0
19/02/2023;331.65;331.65;1.0;Pagamento;0.0;;despesa;Transporte;Taxi;Transferência;0.0;0.0
19/02/2023;808.35;808.35;1.0;Compra;0.0;;despesa;Educação;Faculdade;Débito;0.0;0.0
19/02/2023;426.37;426.37;1.0;Pagamento;0.0;;despesa;Transporte;Ônibus;Crédito;0.0;0.0
19/02/2023;10852.58;10852.58;1.0;Transferência PIX;0.0;;receita;Trabalho;Salário;PIX;0.0;0.0
20/02/2023;1454.52;1454.52;1.0;Pagamento;0.0;;despesa;Saúde;Exame;PIX;0.0;0.0
21/02/2023;6782.17;6782.17;1.0;Pix;0.0;;receita;Trabalho;13º;Transferência;0.0;0.0
22/02/2023;4134.59;4134.59;1.0;Transferência PIX;0.0;;receita;Trabalho;Freelance;Transferência;0.0;0.0
23/02/2023;1234.34;1234.34;1.0;Depósito;0.0;;receita;Trabalho;Freelance;PIX;0.0;0.0
23/02/2023;1217.52;1217.52;1.0;Débito;0.0;;despesa;Saúde;Plano de Saúde;Crédito;0.0;0.0
24/02/2023;914.03;914.03;1.0;Lançamento;0.0;;despesa;Lazer;Viagem;Débito;0.0;0.0
24/02/2023;520.79;520.79;1.0;Débito;0.0;;despesa;Alimentação;Merenda;Boleto;0.0;0.0
24/02/2023;416.02;416.02;1.0;Compra;0.0;;despesa;Saúde;Medicamento;Crédito Parcelado;0.0;0.0
24/02/2023;2392.39;2392.39;1.0;Débito;0.0;;despesa;Moradia;IPTU;PIX;0.0;0.0
24/02/2023;883.83;883.83;1.0;Pagamento;0.0;;despesa;Saúde;Exame;Débito Online;0.0;0.0
25/02/2023;12709.22;12709.22;1.0;Pix;0.0;;receita;Trabalho;13º;Transferência;0.0;0.0
25/02/2023;1093.25;1093.25;1.0;Débito;0.0;;despesa;Saúde;Exame;PIX;0.0;0.0
25/02/2023;777.59;777.59;1.0;Pagamento PIX;0.0;;despesa;Alimentação;Restaurante;PIX;0.0;0.0
25/02/2023;56.59;56.59;1.0;Lançamento;0.0;;despesa;Lazer;Viagem;Dinheiro;0.0;0.0
26/02/2023;833.49;833.49;1.0;Pagamento;0.0;;despesa;Lazer;Cinema;PIX;0.0;0.0
26/02/2023;1195.24;1195.24;1.0;Compra;0.0;;despesa;Saúde;Consulta;Crédito Parcelado;0.0;0.0
26/02/2023;2933.03;2933.03;1.0;Pagamento PIX;0.0;;despesa;Moradia;Aluguel;PIX;0.0;0.0
26/02/2023;262.68;262.68;1.0;Pagamento;0.0;;despesa;Saúde;Plano de Saúde;Débito Online;0.0;0.0
26/02/2023;69.94;69.94;1.0;Pagamento PIX;0.0;;despesa;Educação;Livros;PIX;0.0;0.0
27/02/2023;447.17;447.17;1.0;Débito;0.0;;despesa;Alimentação;Supermercado;Débito Online;0.0;0.0
27/02/2023;433.79;433.79;1.0;Débito;0.0;;despesa;Alimentação;Supermercado;Pix;0.0;0.0
27/02/2023;11880.26;11880.26;1.0;Transferência;0.0;;receita;Trabalho;13º;PIX;0.0;0.0
27/02/2023;41042.63;71394.76;0.574869;Resgate;28.24;DOGE;investimento;Investimentos;Criptomoedas;Débito;0.5485;6.9154
28/02/2023;12265.53;12265.53;1.0;Depósito;0.0;;receita;Trabalho;13º;PIX;0.0;0.0
28/02/2023;266.22;266.22;1.0;Lançamento;0.0;;despesa;Educação;Material Escolar;Débito Online;0.0;0.0
28/02/2023;636.38;636.38;1.0;Débito;0.0;;despesa;Educação;Material Escolar;Débito;0.0;0.0
28/02/2023;1493.75;1493.75;1.0;Pagamento;0.0;;despesa;Saúde;Exame;PIX;0.0;0.0
01/03/2023;59.85;59.85;1.0;Pagamento;0.0;;despesa;Lazer;Esporte;Dinheiro;0.0;0.0
02/03/2023;3134.29;3134.29;1.0;Compra;0.47;CDB 100% CDI;investimento;Investimentos;Renda Fixa;Débito Online;1.1391;0.9638
02/03/2023;8647.8;144.13;60.0;Venda;11.55;B3SA3;investimento;Investimentos;Renda Fixa;Débito Online;1.1043;2.1106
02/03/2023;1903.79;1903.79;1.0;Compra;0.0;;despesa;Saúde;Plano de Saúde;PIX;0.0;0.0
02/03/2023;538.63;538.63;1.0;Pagamento PIX;0.0;;despesa;Educação;Cursos;Boleto;0.0;0.0
02/03/2023;1503.6;1503.6;1.0;Pagamento PIX;0.0;;despesa;Saúde;Plano de Saúde;Débito;0.0;0.0
03/03/2023;409.49;409.49;1.0;Pagamento PIX;0.0;;despesa;Educação;Faculdade;Transferência;0.0;0.0
03/03/2023;102.11;102.11;1.0;Débito;0.0;;despesa;Lazer;Viagem;Débito Online;0.0;0.0
03/03/2023;660.39;660.39;1.0;Lançamento;0.0;;despesa;Lazer;Show;Boleto;0.0;0.0
03/03/2023;590.3;590.3;1.0;Compra;0.0;;despesa;Educação;Faculdade;Pix;0.0;0.0
03/03/2023;178.44;44.61;4.0;Venda;11.21;ITUB4;investimento;Investimentos;ETFs;Débito;8.5657;0.4084
04/03/2023;1522.72;1522.72;1.0;Compra;0.0;;despesa;Moradia;Água;PIX;0.0;0.0
04/03/2023;12165.05;12165.05;1.0;Crédito;0.0;;receita;Trabalho;Trabalho extra;PIX;0.0;0.0
04/03/2023;2630.44;2630.44;1.0;Pagamento;0.0;;despesa;Moradia;Luz;PIX;0.0;0.0
04/03/2023;602.87;602.87;1.0;Débito;0.0;;despesa;Lazer;Show;Boleto;0.0;0.0
04/03/2023;323.72;323.72;1.0;Pagamento;0.0;;despesa;Transporte;Metrô;Dinheiro;0.0;0.0
05/03/2023;113.48;113.48;1.0;Compra;0.0;;despesa;Alimentação;Delivery;Débito Online;0.0;0.0
05/03/2023;4974.01;4974.01;1.0;Dividendos;3.37;CDB 110% CDI;investimento;Investimentos;ETFs;Transferência;0.0706;1.4397
06/03/2023;431.15;431.15;1.0;Lançamento;0.0;;despesa;Alimentação;Restaurante;Boleto;0.0;0.0
06/03/2023;1155.2;1155.2;1.0;Compra;0.0;;despesa;Moradia;Água;Transferência;0.0;0.0
06/03/2023;8559.73;8559.73;1.0;Transferência PIX;0.0;;receita;Trabalho;Trabalho extra;PIX;0.0;0.0
06/03/2023;699.61;699.61;1.0;Débito;0.0;;despesa;Alimentação;Merenda;Boleto;0.0;0.0
07/03/2023;66.48;66.48;1.0;Pagamento;0.0;;despesa;Transporte;Ônibus;Débito;0.0;0.0
07/03/2023;1572.1;1572.1;1.0;Compra;0.0;;despesa;Saúde;Plano de Saúde;Dinheiro;0.0;0.0
07/03/2023;1064.82;1064.82;1.0;Lançamento;0.0;;despesa;Moradia;IPTU;Boleto;0.0;0.0
07/03/2023;2223.69;2223.69;1.0;Débito;0.0;;despesa;Moradia;Luz;Transferência;0.0;0.0
08/03/2023;103.11;103.11;1.0;Compra;0.0;;despesa;Transporte;Gasolina;Crédito Parcelado;0.0;0.0
08/03/2023;668.99;668.99;1.0;Débito;0.0;;despesa;Educação;Cursos;Débito;0.0;0.0
08/03/2023;780.43;780.43;1.0;Débito;0.0;;despesa;Lazer;Cinema;PIX;0.0;0.0
08/03/2023;808.26;808.26;1.0;Pagamento;0.0;;despesa;Alimentação;Restaurante;Dinheiro;0.0;0.0
09/03/2023;1040.92;1040.92;1.0;Lançamento;0.0;;despesa;Saúde;Consulta;Dinheiro;0.0;0.0
09/03/2023;250.78;250.78;1.0;Compra;0.0;;despesa;Alimentação;Supermercado;Crédito Parcelado;0.0;0.0
09/03/2023;828.1;31.85;26.0;Venda;7.5;KIND11;investimento;Investimentos;Criptomoedas;Débito Online;1.0608;0.7392
10/03/2023;255.84;255.84;1.0;Compra;0.0;;despesa;Transporte;Metrô;Crédito Parcelado;0.0;0.0
10/03/2023;1256.73;1256.73;1.0;Lançamento;0.0;;despesa;Moradia;Internet;PIX;0.0;0.0
10/03/2023;922.39;922.39;1.0;Débito;0.0;;despesa;Lazer;Hobby;Débito Online;0.0;0.0
10/03/2023;12473.54;12473.54;1.0;Crédito;0.0;;receita;Trabalho;13º;Transferência;0.0;0.0
10/03/2023;2152.61;2152.61;1.0;Compra;2.2;Tesouro Selic;investimento;Investimentos;Renda Fixa;PIX;1.6926;0.0158
11/03/2023;654.02;654.02;1.0;Pagamento PIX;0.0;;despesa;Saúde;Consulta;Dinheiro;0.0;0.0
12/03/2023;1059.07;1059.07;1.0;Lançamento;0.0;;despesa;Saúde;Plano de Saúde;Dinheiro;0.0;0.0
12/03/2023;916.4;916.4;1.0;Pagamento PIX;0.0;;despesa;Educação;Cursos;Boleto;0.0;0.0
13/03/2023;4960.37;4960.37;1.0;Transferência PIX;0.0;;receita;Trabalho;Freelance;Transferência;0.0;0.0
14/03/2023;435.14;435.14;1.0;Pagamento PIX;0.0;;despesa;Transporte;Gasolina;Boleto;0.0;0.0
14/03/2023;323.46;323.46;1.0;Débito;0.0;;despesa;Educação;Cursos;Dinheiro;0.0;0.0
14/03/2023;12194.27;12194.27;1.0;Depósito;0.0;;receita;Trabalho;13º;Transferência;0.0;0.0
14/03/2023;1340.64;1340.64;1.0;Venda;0.22;CDB 100% CDI;investimento;Investimentos;Renda Fixa;Transferência;3.7707;0.0866
14/03/2023;836.61;836.61;1.0;Lançamento;0.0;;despesa;Alimentação;Delivery;Boleto;0.0;0.0
15/03/2023;7344.17;7344.17;1.0;Crédito;0.0;;receita;Trabalho;13º;Transferência;0.0;0.0
15/03/2023;97.81;97.81;1.0;Compra;0.0;;despesa;Educação;Material Escolar;Crédito Parcelado;0.0;0.0
16/03/2023;1015.22;1015.22;1.0;Débito;0.0;;despesa;Moradia;Água;PIX;0.0;0.0
16/03/2023;474.65;474.65;1.0;Lançamento;0.0;;despesa;Saúde;Plano de Saúde;Crédito Parcelado;0.0;0.0
16/03/2023;542.86;542.86;1.0;Lançamento;0.0;;despesa;Alimentação;Merenda;Crédito Parcelado;0.0;0.0
